Title,Company,Location,Type,Level,YearsExp,Country,Skills,MinYearsExp,MaxYearsExp
Senior Technical Office Engineer (Site -Civil),Confidential, Cairo,Full Time,Experienced,10-12 Yrs of Exp,Egypt,"Technical Office, TO, AutoCAD, Revit, Mechanical, English, Site Engineering, Engineering - Construction/Civil/Architecture",10,12
Customer Service Specialist,Virtual Worker Now, Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Egypt,"10 Vacancies, Customer Service, Customer Support, Customer Care, Communication Skills, English, Customer Service/Support",1,3
Senior Architectural Engineer (Technical Office),Confidential, Heliopolis,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"AutoCAD, Technical Office, TO, Revit, QS, Photoshop, Architecture, IS, English, Shop Drawing",10,12
Sales Team Leader,Tender Egypt, Shorouk City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Customer Service, Communication, Marketing, Negotiation Skills, Selling Skills, English, Sales Target, People Management, Sales/Retail",5,7
Cost Accountant,INDEVCO, Alsadat City,Full Time,Experienced,4-6 Yrs of Exp,Monufya,"Finance, Clerical Accounting, Financial Management, Financial Analysis, Banking, Bank Relation, Credit Rules, Account Payable",4,6
Senior HR Specialist,Location Real Estate, New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Training, Labor Law, Recruitment, Real Estate, Personnel, HR, Human Resources",5,7
Graphic Designer,PENCILIGHT, Beni Suef,Full Time,Freelance / Project,2-10 Yrs of Exp,Beni Suef,"2-10 Yrs of Exp, Graphic Design, 2D, Adobe Illustrator, CorelDraw, Adobe Photoshop, 2D Design, Cold Drawing Illustration",2,10
Archiving Officer - مسؤول أرش�?ة,Mishkat Nour, Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Management, Data, Analysis, Archive, Administration, Administration",3,7
Quality Control Analyst,Marcyrl Pharmaceutical Industry, Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Quality Assurance, Pharmacy, Analysis, Risk Management, Quality, Analyst/Research, Pharmaceutical",1,2
IT Specialist,Egast, Alexandria,Full Time,Part Time,2-6 Yrs of Exp,Egypt,"2-6 Yrs of Exp, Information Technology (IT), Installation, Computer Science, Maintenance, IT/Software Development",2,6
Sales Team Leader - Real Estate Brokerage,Aqar Vision, Cairo,Full Time,Manager,5-6 Yrs of Exp,Egypt,"Sales Skills, Real Estate Brokerage, Sales Team, Sales Target, English, Communication Skills, Sales/Retail",5,6
Psychiatrist,Dimensions, Khobar,Full Time,Experienced,3-5 Yrs of Exp,Saudi Arabia,"Psychiatrist, Medical, Psychiatry, Healthcare, Mental Health, Arabic, English, SCFHS, RRC, Medical/Healthcare",3,5
Purchasing Officer,Confidential, Alhadra,Full Time,Experienced,3+ Yrs of Exp,Alexandria,"Purchasing Officer, Textile, Microsoft Office, Procurement, Vendor Sourcing, Purchasing/Procurement",3,5
Finished Goods Warehouse Manager,Confidential, Alhadra,Full Time,Manager,8+ Yrs of Exp,Alexandria,"Warehousing, ERP, Logistics, Supply Chain, Finished Goods, Stock Control, Logistics/Supply Chain",8,10
Sales Representative,National Builders, Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Sales Target, Sales/Retail",2,5
Store Manager-Tanta/Mahalla,shot men's wear, Tanta,Full Time,Manager,2-5 Yrs of Exp,Gharbia,"Males Only, Store Management, Customer Service, Customer Care, Customer Support, Sales Skills, Sales Target, English, Retail",2,5
Shops General Manager,Confidential, Alhadra,Full Time,Senior Management,10-15 Yrs of Exp,Alexandria,"Sales, Shops Management, Operations, Analysis, Distribution, Strategic Planning, Retail, Customer Service/Support",10,15
Store Manager-Mansoura,shot men's wear, Mansoura,Full Time,Manager,2-5 Yrs of Exp,Dakahlia,"Males Only, Store Management, Customer Service, Customer Care, Customer Support, Sales Skills, Sales Target, English, Retail",2,5
Sales General Manager,Confidential, Alhadra,Full Time,Senior Management,10-20 Yrs of Exp,Alexandria,"Sales Skills, Lead Generation, Business Development, Leadership, Strategic Planning, Operations/Management, Sales/Retail",10,20
HR Specialist,Mishkat Nour, Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Human Resources (HR), Recruitment, Communication Skills, Human Resources",4,7
مسؤول إدارة المست�?يدين,Mishkat Nour, Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Management, Data, Analysis, Administration",3,6
Front-End Developer Angular - Ionic,DIRAC SYSTEMS, Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Information Systems, Computer Science, System Engineering, ML/XHTML, javaScript, CSS, jQuery, AngularJS, Software Development",2,5
Customer Support Specialist,FaceGraph, Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,"Customer Support, Customer Service, Customer Care, English, Sales, Software, Communication, Information Technology, CS",3,5
Warehouse Manager - Multinational - Alexandria,Pillars, Alexandria,Full Time,Manager,8-10 Yrs of Exp,Egypt,"Logistics, Supply Chain, Warehouse Management, Food Industry, Logistics/Supply Chain",8,10
Senior .Net Core Developer,Desklab, New Nozha,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"C#, ASP.NET, MVC, Angular, .NET Core, SQL, Web API, Azure, Information Technology (IT), Software Development",3,5
Flutter Developer - Intern,Okhtub, Smart Village,Internship,Entry Level,0 Yrs of Exp,Giza,"Information Technology (IT), Software Development, Android, Flutter, RESTful APIs, OOP, iOS, IT/Software Development",0,2
Receptionist Front Office Admin,Snapology of Egypt, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Education, Customer Relations, Office Manager, Administration, Office Management, Microsoft Office, Administration",3,5
Head Instructor / Teacher,Snapology of Egypt, New Cairo,Full Time,Manager,2+ Yrs of Exp,Cairo,"Teaching, Instructor, Training, Learning, English, Education/Teaching, Training/Instructor",2,4
Marketing Specialist,Magdy Taalab, Obour City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Packaging, Social Media, E-marketing, Marketing Plans, Marketing/PR/Advertising, Media/Journalism/Publishing",1,2
Android Developer,Generation C, Sheraton,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Software Development, OOP, Kotlin, Testing, OOD, Jira, CI, Jetpack, Computer Science, Engineering, Telecom",2,4
Odoo Implementer,DGTERA, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Information Technology (IT), Odoo, Computer Science, Python, PostgreSQL, javaScript, HTML, GIT, Linux, Software Development",2,4
Senior UI Developer,Generation C, Sheraton,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Telecommunication, Engineering, HTML5, UI, CSS3, javaScript, jQuery, SCSS",3,4
Senior Xamarin/Cross Platform Mobile Apps...,eDoctor Software, Dokki,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Software Development, Software Engineering, Mobile Development, Android, iOS, Information Technology (IT), Xamarin",3,5
Software Business Analyst - ERP,eDoctor Software, Dokki,Part Time,Experienced,3-6 Yrs of Exp,Giza,"Business Analysis, Information Technology (IT), Software Development, English, IT/Software Development, Analyst/Research",3,6
Finance Director,Takween Integrated Community Development, Maadi,Full Time,Senior Management,15+ Yrs of Exp,Cairo,"Accounting, Financial Management, CPA, CMA, Accounting/Finance, C-Level Executive/GM/Director",15,17
Social Media Moderator,Unicity, New Cairo,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Communication Skills, Writing, Social Networking, Design, E-marketing, English, Editing, SEO, Marketing/PR/Advertising",3,4
Project Finance Manager,Takween Integrated Community Development, Maadi,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Accounting, CPA, Project Management, Financial Analysis, Commerce, Communication Skills, Risk Management, English, Software",10,15
Accountant,Confidential, Rehab City,Full Time,Shift Based,0-3 Yrs of Exp,Cairo,"Accounting, Odoo, Advanced Excel, Finance, Financial Analysis, Financial Management, ERP, Computer Skills, Microsoft Office",0,3
Sales Engineer,Desklab, New Nozha,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Males Preferred, Autodesk, Revit, BIM, MEP, Inventor, Structural, Sales Skills, Marketing, Business Development, 3ds Max",2,5
Digital Marketing Specialist (Ecommerce),Confidential, Ain Shams,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"SEM, Google Analytics, Google Adwords, Campaigns, ROI, Social Media, Ecommerce, E-marketing, Marketing/PR/Advertising",4,6
Website Designer (Ecommerce),Confidential, Abdeen,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"UX, Web Design, IT, JavaScript, jQuery, CSS, HTML, Photoshop, Illustrator, InDesign, Ecommerce, Creative/Design/Art",3,5
Online Marketing Specialist,As Good As New, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Social Media, Google Analytics, Google Adwords, Digital Marketing, Facebook Ads, English, Communication, Dutch",2,5
Laravel Developer,As Good As New, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"PHP, MySQL, REST API, Testing, Design, Information Technology (IT), Computer Science, IT/Software Development",1,3
Senior Digital Marketing Specialist,brandimic, 6th of October,Full Time,Work From Home,2-5 Yrs of Exp,Giza,"Digital Marketing, Social Media, E-marketing, Online Marketing, Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing",2,5
Ionic Developer,As Good As New, New Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Cairo,"Information Technology (IT), Ionic, Software Development, HTML, CSS, javaScript, Computer Science, Back End, SOAP, RESTful",1,3
Agriculture Equipment Maintenance Manager,Nile Sugar, Wadi Alnatrun,Full Time,Manager,10+ Yrs of Exp,Beheira,"Maintenance, Management, Mechanical Engineering, Installation/Maintenance/Repair, Operations/Management",10,12
Linux System Administrator,Add Pluses, 6th of October,Full Time,Part Time,1-2 Yrs of Exp,Giza,"1-2 Yrs of Exp, Males Only, Linux, System Administration, Apache, MySQL, Communication, Tomcat, Configuring, Shell Scripting",1,2
Senior Graphic Designer,Unicity, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Illustrator, Adobe Photoshop, Creativity, Communication Skills, Real Estate, Creative/Design/Art",3,5
Receptionist,First Group, Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Females Only, Administration, Office Management, Communication Skills, Customer Care, Secretary, Administration",1,3
IT Specialist,Dynamicslink, Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Information Technology (IT), HW, Computer Science, Maintenance, Installation, Networks, Medical, IT/Software Development",4,6
Digital Marketing Specialist - Remotely -Part...,Dimensions, Cairo,Part Time,Freelance / Project,4-6 Yrs of Exp,Egypt,"4-6 Yrs of Exp, Digital Marketing, E-marketing, Social Media, English, Arabic, Medicals, Hospitals, Marketing/PR/Advertising",4,6
Senior System Engineer,Centro Global Solutions, Maadi,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Software, System Administration, Systems, Security, Configuration, Information Technology (IT), Computer Science, SQL",4,5
Call Center Agent,First Group, Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Males Only, Customer Service, Call Center, Customer Support, Customer Care, Communication Skills, Customer Service/Support",1,3
Graphic Designer,Confidential, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Adobe Photoshop, Adobe Illustrator, Motion Graphics, Creative/Design/Art, Marketing/PR/Advertising",2,3
Front End/UI Developer,Cybertron International Inc., Smart Village,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Information Technology (IT), UI, Front End, Software Development, Software Engineering, Web Development, PHP, Agile, Webpack",1,5
Senior UX Designer,Arabian Systems, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"UX, UX Design, Computer Science, HTML5, javaScript, CSS3, IT/Software Development",3,6
Business Coordinator,FloraDoor, Nasr City,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"English, Communication Skills, Business Administration, Flowers, Coordinator, Customer Service, Customer Care, Customer Support",0,3
Senior Real Estate Sales Executive,Unicity, New Cairo,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Direct Sales, English, Commercial, Customer Service, Real Estate, Sales/Retail",2,6
Senior Software Developer (Python - AI),CrossWorkers, New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Software Engineering, Python, Programming, C++, Web Applications, Frameworks",4,6
Reporting Analyst,Sykes Enterprises, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"SQL, Call Center, Power BI, Administration, Analysis, Administration, Analyst/Research",1,2
Web Developer,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Computer Science, Web Development, Software Development, Engineering, HTML, CSS, IT/Software Development",2,3
Senior Software Developer (C++ - AI),CrossWorkers, New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Development, Computer Science, Software Engineering, C++, Programming, Web Applications, Frameworks, Python",4,6
Fixed Assets & General Ledger Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Financial Analysis, Management, Accounting, Commerce, Fixed Assets & General Ledger, Accounting/Finance",5,7
Executive Assistant,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Office Management, Secretary, Microsoft Office, Communication Skills, Administration",2,3
Interior Designer,harfco, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"AutoCAD, Engineering, Interior Designer, Engineering - Construction/Civil/Architecture, Creative/Design/Art",2,3
Senior Business Development - Digital Advertising...,Premier Services and Recruitment, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Development, Digital Advertising, Marketing, Sales Skills, Industry, Business Development, Marketing/PR/Advertising",3,5
Inventory Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Inventory, Finance, Financial Analysis, Commerce, Management Accounting, Accounting/Finance",2,5
Operations Supervisor,InfoFort Egypt S.A.E., 6th of October,Full Time,Manager,2-3 Yrs of Exp,Giza,"Management, MS Office, English, Operations/Management",2,3
Proposal Supervisor ( Energy & Infrastructure...,Confidential, New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Tendering, Power Engineering, Project/Program Management, Engineering - Mechanical/Electrical, Engineering - Oil & Gas/Energy",5,7
Technical Sales Coordinator,Brilliant Engineering, 6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Mechanical Engineering, English, Sales Skills, Sales Target, Customer Service, HVAC, Sales/Retail",2,3
E-Marketing Specialist,Brilliant Engineering, 6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Social Media Ads, English, Electrical Engineering, Mechanical Engineering, Marketing/PR/Advertising, Media/Journalism/Publishing",1,2
Payroll Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Finance, Financial Analysis, Commerce, Payroll Accounting, Accounting/Finance",2,5
Product Manager - (CNS Line),Delta Pharma Egypt, Nasr City,Full Time,Manager,2-3 Yrs of Exp,Cairo,"Pharmaceutical, Product Management, Marketing Strategies, Marketing Campaigns, Advertising, Public Relations (PR), Technical Marketing",2,3
"Risk,Compliance & Governance Manager",The First Microfinance, Maadi,Full Time,Senior Management,7+ Yrs of Exp,Cairo,"Compliance, Legal, Administration, Administration, Legal, Operations/Management",7,9
Quality Coordinator,Atheel CC, Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Microsoft Excel, Microsoft PowerPoint, Call Center, Quality Assurance, Customer Service/Support, Quality",1,3
Senior Software Developer (.Net Core + Angular),CrossWorkers, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Computer Science, Software Development, Angular, Web API, ReactJS, Agile, .Net core, GitLab, GitHub, Unit Test",3,5
Digital Media Buyer,SHNAG Architects, 6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Digital Marketing, Content Writing, Media Channels, Google Adwords, Media Buying, SEO, Marketing/PR/Advertising",3,5
Sales Manager - Real Estate,Aqar Vision, New Cairo,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"Sales Target, Sales Manager, Sales Skills, Business Administration, People Management, Sales/Retail",10,12
Senior Graphic Designer,CrossWorkers, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Adobe Illustrator, Adobe Photoshop, Computer Science, Software Development, Adobe XD, Communication Skills, Figma, Wireframe",3,6
Business Development Specialist,SHNAG Architects, Giza,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Customer Support, Customer Care, Architecture, Design, Sales Skills, Sales Target, Construction, Adobe Photoshop, English",2,5
Accountant - Receivable,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Finance, Accounts Receivable, Financial Analysis, Business Management, Accounting/Finance",3,5
Assistant Branch Manager - Retail Store (Tanta),QUATTRO, Tanta,Full Time,Experienced,3-5 Yrs of Exp,Gharbia,"Sales Target, Customer Service, Retail, Customer Service/Support, Sales/Retail",3,5
Network Engineer,Master Linux, Dokki,Full Time,Experienced,3-10 Yrs of Exp,Giza,"Network Administration, Cisco, Computer Science, Routing, Web Operation, Networking, Network security, Information Technology (IT)",3,10
Sales Representative - Retail Store (Mansoura),QUATTRO, Mansoura,Full Time,Entry Level,1-3 Yrs of Exp,Dakahlia,"Sales Skills, Sales Target, Customer Service, Retail, Customer Service/Support, Sales/Retail, Fashion",1,3
Payable Accountant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Accounts Payable, Finance, Financial Analysis, Business Management, Accounting/Finance",3,5
Warehouse Controller.,PICO Engineering Group, Mohandessin,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Warehouse, Warehousing, Supply Chain, Logistics, Logistics/Supply Chain",5,7
Retail Area Manager - Mansoura,QUATTRO, Mansoura,Full Time,Manager,3-5 Yrs of Exp,Dakahlia,"Retail Manager, Operations, Customer Support, Area Manager, Customer Service/Support, Operations/Management, Sales/Retail",3,5
Front Office Manager (Hotels) Alexandria,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Manager,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Front Office, Hotels, Hospitality, Secretary, Microsoft Excel, Microsoft Word, Customer Service",7,9
Chief Accountant - Receivable,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Commerce, Accounting Management, Chief Accounting, Financial Planning",5,8
Android Developer (Lonic/Angular),Entrepreware, Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Fullstack, Spring, Ionic, Backend, Computer Science, Software Engineering, Json, Information Technology (IT), Fragments",0,1
Property Consultant,Manjam, New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Negotiation Skills, Customer Care, Customer Service, Customer Support, Sales/Retail",2,3
Secretary,QUORUM, Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"secretary, consultancy, efficient, proactive, hardworker, MS Office Suit, english, miticulous, Office Management, Microsoft Office",1,3
Chief Financial Officer,Confidential, Giza,Full Time,Manager,15-20 Yrs of Exp,Egypt,"Finance, Financial Management, Financial Analysis, Manufacturing, Food and Beverage, Accounting/Finance",15,20
Chief Accountant - Payable,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Finance, Commerce, Financial Management, Financial Accountant, Financial Analysis, Chief Accounting, Accounting/Finance",5,8
UI Designer/Developer,Rasan, Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"UI, Agile, UX, Computer Science, CSS, HTML, javaScript, Web Development, Front-End, Adobe XD, Full-Stack, SaSS",4,6
Senior Integration .NET Developer,Rasan, Nasr City,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"Computer Science, Software Development, .NET, C#, MVC, Agile, TFS, WCF, Web API, Integration, MS-SQL",8,10
Senior React Native Developer,Rasan, Nasr City,Full Time,Experienced,3-8 Yrs of Exp,Cairo,"Computer Science, Software Development, React, javaScript, REST APIs, Programming, Native, XCode, Gradle, IntelliJ",3,8
Senior MVC .NET Developer,Rasan, Cairo,Full Time,Experienced,4-8 Yrs of Exp,Egypt,"Computer Science, Software Development, C#, Agile, TFS, Troubleshooting, Design, Frontend, MVC.NET, English",4,8
Business Development Manager ( Construction...,Gila Electric, New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Project Management, Engineering, Sales, Engineering - Construction/Civil/Architecture, Business Development",7,10
B2B Sales Executive - Maadi,Lasirena Group, Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"B2B, English, Communication, Sales Target, Customer Service, Negotiation Skills, Sales/Retail",2,4
Senior Digital Media Buyer,Arrows, 6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Digital Media Buying, Facebook, ROI, Google Advertising, Social Media, Digital Marketing, SEO, Google Adwords, Campaigns, Snapchat",2,3
Senior Sales Engineer,Pace engineering solutions, Maadi,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Sales Target, Customer Relationship, Mechanical Engineering, Electrical Engineering, Earthing, Lightning Systems, Sales/Retail",4,6
Medical Advisor,Confidential, Alexandria,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Pharmacy, Sales Skills, Indoor Sales, Outdoor Sales, English, Medical Sales, Pharmaceuticals, Medical/Healthcare, Sales/Retail",0,2
Purchasing Specialist,Confidential, 10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Purchasing, Home Appliances, Supply Chain, Planning, Microsoft Excel, Business Administration, Data Analysis, Retail, Procurement",2,5
Office Manager,Pace engineering solutions, Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Business Administration, Sales Admin, Sales Skills, Administration, Sales/Retail",3,6
Customer Service & Operations Executive,Five, Sheikh Zayed,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Sales, Customer Service, Customer Care, Problem Solving, Operations, Customer Service/Support, Operations/Management",1,3
AutoCAD & 3D Architect,Adawliah agency, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"AutoCAD, 3D, Microsoft Office, Photoshop, Engineering, Product Design, 3D Modeling, English, 2D, Communication Skills",2,5
Creative Content Creator,Clouds Software Solutions, Cairo,Full Time,Part Time,3-5 Yrs of Exp,Egypt,"3-5 Yrs of Exp, Content, Social Media, SEO, English, Arabic, Digital, Writing Skills, Research, Creative, Marketing",3,5
HR Screener,Atheel CC, Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Recruitment, Screening, HRMS, Communication Skills, Human Resources",0,1
Junior Sales Executive Real Estate,Gates Development, New Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Presentation, Sales Target, Negotiation, Communications, Sales/Retail",0,1
Software QC Supervisor,Eva Pharma, Haram,Full Time,Manager,3-5 Yrs of Exp,Giza,"Information Technology (IT), Computer Science, Telecom, Software Quality, Software Engineering, Mobile Apps, APIs, Testing, English, Arabic",3,5
Senior Quality Control Engineer,TruDoc 24x7, Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Quality Control, Engineering, Software Testing, QC, SQL, Automation, Quality Assurance, QA, Agile, Appium, JMeter, Jira",3,5
Talent Acquisition Supervisor,Concentrix, 6th of October,Full Time,Manager,2-4 Yrs of Exp,Giza,"Human Resources (HR), Talent Acquisition, Hiring, Sourcing, Screening, German, English, Human Resources",2,4
Mobile Sales Representative (Indoor),Ehab Group Stores(Mobile&Accessoires), Downtown,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Males Preferred, Indoor Sales, Sales Skills, Retail, Mobiles & Accessoires, Commerce, English, Sales Target, Customer Care",2,5
Network & IP Telephone Engineer (Design &...,Adawliah agency, Cairo,Full Time,Experienced,8-10 Yrs of Exp,Egypt,"Computer Science, Software Engineering, Computer Engineering, Cisco, Networks, Networking, IP, CCNP, TCP/IP",8,10
Civil Site Technical Office Engineer,MM contracting and supplying, Sheraton,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"AutoCAD, Microsoft Office, Primavera, Excel, Revit, Technical Office, Site, BOQ, Engineering - Construction/Civil/Architecture",5,7
Telesales Agent,Lasirena Group, Maadi,Full Time,Experienced,1-4 Yrs of Exp,Cairo,"Telesales, English, Customer Service, Negotiation Skills, Customer Care, Customer Support, Customer Service/Support, Sales/Retail",1,4
Senior Software Tester,Confidential, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"QC, QA, Information Technology (IT), Computer Science, Quality Assurance, Quality Control, Automation, IT/Software Development",3,5
Civil Technical Office Engineer,Better Home, New Cairo,Full Time,Experienced,7-10 Yrs of Exp,Cairo,"Civil Engineering, Architecture, Technical Office, AutoCAD, Microsoft Office, MS Office, Microsoft Excel, Microsoft PowerPoint",7,10
Internal Auditor,Better Home, Cairo,Full Time,Experienced,5-7 Yrs of Exp,Egypt,"Accounting, Finance, Commerce, Auditing, Microsoft Office, Financial Management, Financial Analysis, Communication Skills",5,7
Administrator,Sigma for Import and Export, Heliopolis,Shift Based,Entry Level,1+ Yrs of Exp,Cairo,"Office Management, ERP, Accounting, Microsoft Office, Assistant, Business Administration, MS Office, Administration",1,3
Property Consultant - Real Estate,Own It, New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Customer Service, Communication Skills, English, Sales/Retail",0,2
Executive Secretary,Onepoint HR Solutions, Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Microsoft Office, English, Business Administration, Executive Secretary, Administrative, Administration",1,3
Senior PHP Developer - Laravel,Trufla, Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"PHP, Information Technology (IT), Computer Science, Software Development, Software Engineering, Laravel, MySQL, RESTful APIs, AWS",3,5
Country Information Security Manager,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"CISSP, CISM, CISA, CRESC, CEH, Information Technology (IT), Computer Science, Computer Engineering, Country Information Security",5,8
Low Current Engineer (Design & Programming),Adawliah agency, Cairo,Full Time,Experienced,8-10 Yrs of Exp,Egypt,"Computer Science, Information Technology (IT), Fire Alarm, Agile, Design Patterns, Communication, Lighting, BMS, Security, IPTV",8,10
Senior Sales Executive (Qena),Nagwa, Qena,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Target, E-Learning, Communication, Business, Negotiation, Digital Education, Sales/Retail",3,5
Project Manager,International Trade Office, Bab Sharq,Full Time,Manager,10-15 Yrs of Exp,Alexandria,"Project Management, Civil Engineering, Mechanical Engineering, Production, AutoCAD, TEKLA, Tenders, Project/Program Management",10,15
Senior Sales Executive (Minya),Nagwa, Minya,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Target, E-Learning, Communication, Negotiation, Business, Digital Education, Sales/Retail",3,5
Property Consultant,Diarna, New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Property Sales, Real Estate Sales, English, Sales/Retail",0,2
Senior Sales Executive (Luxor / Aswan),Nagwa, Luxor,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Target, Digital Education, E-Learning, Communication, Business, Sales/Retail",3,5
Senior Sales Executive (Fayoum),Nagwa, Fayoum,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Target, E-Learning, Digital Education, Communication, Negotiation, Business, Sales/Retail",3,5
Junior Flutter Developer,Confidential, Smart Village,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Flutter, Information Technology (IT), Software Development, Android, IOS, RESTful, Bitbucket, Github, Firebase",1,2
